Name	Fitness	stderror	variance
93	0.0164485371715587	0.0208229036558883	0.000867186633324812
153	0.00643837961391072	0.00234073538927061	1.09580843251677e-05
213	0.0234392372143263	0.00703283767225986	9.8921611448715e-05
Y_3_t1000 vs Y_allFlasks_averaged	0.00836413580951906	0.00156874245406216	7.38285866153092e-06
34	0.0162994502600262	0.0112481491293666	0.000253041717672942
94	0.0283372991711887	0.0146390677424331	0.000428604608735093
154	0.00532046841326931	0.00270404766641768	1.46237475645178e-05
214	0.0119359276427519	0.000639017944824242	8.16687867614797e-07
Y_4_t1000 vs Y_allFlasks_averaged	0.0116304399907053	0.000506540181872266	7.69748867553566e-07
35	0.0533591869877636	0.00548198010451971	6.01042117326999e-05
95	0.0163567515454733	0.0108715824271342	0.000236382608939946
155	-0.00974998715349922	0.0244947901585332	0.00119998948982115
215	0.0275113731813328	0.0115048075611483	0.00026472119403811
Y_5_t1000 vs Y_allFlasks_averaged	0.041319150112578	0.00361699028216143	3.92478561037507e-05
36	0.0143691096364982	0.00753579422415862	0.000113576389177725
96	0.0242757347003125	0.00743008676187662	0.000110412378578028
156	-0.0402291531627903	0.0145314231515984	0.000422324517621619
216	0.0128912409530803	0.0143291020599279	0.000410646331687659
Y_6_t1000 vs Y_allFlasks_averaged	0.0124650253801393	0.00383499679498632	4.4121601252666e-05
37	0.0187003625531836	0.0047700148421324	4.55060831883269e-05
97	0.0210924139531611	0.00311502880455521	1.94068089064173e-05
157	0.0148589534345938	0.00986655320368529	0.000194697744242305
217	0.022970845679183	0.0237256742377723	0.00112581523607379
Y_7_t1000 vs Y_allFlasks_averaged	0.020049846319737	0.00204729243850693	1.25742189863029e-05
38	0.0370365582835326	0.00162924238425142	5.30886149328249e-06
98	0.052730895919931	0.00236814725948753	1.12162428852366e-05
158	0.0299263826339296	0.00413720352532071	3.42329060198522e-05
218	0.0360448115762301	0.0128431582639513	0.000329893428385802
Y_8_t1000 vs Y_allFlasks_averaged	0.0408734982794187	0.00103734720000744	3.22826764008985e-06
39	0.0344296543251573	0.00322972043208891	2.08621881389052e-05
99	0.0220350673341357	0.00317977677135822	2.02219606313386e-05
159	0.0259601694894375	0.000970900992280471	1.88529747362241e-06
219	0.0414710605753408	0.0100965699805629	0.000203881450744808
